humedad,temperatura,fecha
46.0,28.2,2023-12-31 18:23:33
46.0,28.2,2023-12-31 18:23:39
46.0,28.2,2023-12-31 18:23:43
46.1,28.2,2023-12-31 18:23:47
46.2,28.2,2023-12-31 18:23:51
46.2,28.2,2023-12-31 18:23:55
46.5,28.1,2023-12-31 18:24:01
46.0,28.1,2023-12-31 18:24:55
46.0,28.1,2023-12-31 18:25:08
46.4,28.1,2023-12-31 18:25:19
46.4,28.1,2023-12-31 18:25:31
46.4,28.1,2023-12-31 18:25:43
46.4,28.1,2023-12-31 18:25:56
46.1,28.1,2023-12-31 18:26:07
46.1,28.1,2023-12-31 18:26:19
46.2,28.0,2023-12-31 18:26:31
46.3,28.0,2023-12-31 18:26:43
46.5,28.0,2023-12-31 18:26:55
46.4,28.0,2023-12-31 18:27:08
46.5,28.0,2023-12-31 18:27:20
46.3,28.0,2023-12-31 18:27:31
46.2,28.0,2023-12-31 18:27:44
46.1,28.0,2023-12-31 18:27:55
46.0,28.0,2023-12-31 18:28:07
46.3,28.0,2023-12-31 18:28:19
46.2,28.0,2023-12-31 18:28:32
46.2,28.0,2023-12-31 18:28:44
46.0,28.1,2023-12-31 18:28:56
46.3,28.0,2023-12-31 18:29:08
46.3,28.0,2023-12-31 18:29:20
46.3,28.1,2023-12-31 18:29:31
46.5,28.1,2023-12-31 18:29:44
46.2,28.1,2023-12-31 18:29:56
46.1,28.1,2023-12-31 18:30:08
46.0,28.1,2023-12-31 18:30:20
46.0,28.1,2023-12-31 18:30:32
46.0,28.1,2023-12-31 18:30:44
46.0,28.2,2023-12-31 18:30:56
45.9,28.1,2023-12-31 18:31:08
46.0,28.2,2023-12-31 18:31:20
46.2,28.2,2023-12-31 18:31:32
46.1,28.2,2023-12-31 18:31:44
46.0,28.2,2023-12-31 18:31:56
46.0,28.2,2023-12-31 18:32:08
46.0,28.2,2023-12-31 18:32:20
45.9,28.2,2023-12-31 18:32:32
46.0,28.2,2023-12-31 18:32:44
46.1,28.2,2023-12-31 18:32:56
46.1,28.2,2023-12-31 18:33:08
46.0,28.2,2023-12-31 18:33:21
45.8,28.2,2023-12-31 18:33:33
45.9,28.2,2023-12-31 18:33:45
46.0,28.2,2023-12-31 18:33:57
45.9,28.2,2023-12-31 18:34:08
46.1,28.2,2023-12-31 18:34:20
46.1,28.2,2023-12-31 18:34:33
46.0,28.2,2023-12-31 18:34:45
46.1,28.2,2023-12-31 18:34:56
46.1,28.3,2023-12-31 18:35:09
45.9,28.2,2023-12-31 18:35:20
45.8,28.2,2023-12-31 18:35:32
45.8,28.3,2023-12-31 18:35:45
45.9,28.2,2023-12-31 18:35:57
45.9,28.2,2023-12-31 18:36:09
46.2,28.3,2023-12-31 18:36:21
45.9,28.2,2023-12-31 18:36:33
46.0,28.2,2023-12-31 18:36:45
46.1,28.2,2023-12-31 18:36:57
46.0,28.2,2023-12-31 18:37:09
46.2,28.2,2023-12-31 18:37:21
46.1,28.2,2023-12-31 18:37:33
46.0,28.2,2023-12-31 18:37:45
46.1,28.2,2023-12-31 18:37:57
45.9,28.2,2023-12-31 18:38:09
46.2,28.2,2023-12-31 18:38:21
46.2,28.3,2023-12-31 18:38:33
46.1,28.2,2023-12-31 18:38:45
46.2,28.2,2023-12-31 18:38:57
46.2,28.2,2023-12-31 18:39:09
46.3,28.2,2023-12-31 18:39:21
46.3,28.2,2023-12-31 18:39:34
46.2,28.2,2023-12-31 18:39:46
46.2,28.2,2023-12-31 18:39:57
46.1,28.2,2023-12-31 18:40:10
46.2,28.2,2023-12-31 18:40:21
46.3,28.1,2023-12-31 18:40:34
46.2,28.1,2023-12-31 18:40:46
46.3,28.1,2023-12-31 18:40:57
46.3,28.1,2023-12-31 18:41:10
46.3,28.1,2023-12-31 18:41:22
46.2,28.1,2023-12-31 18:41:33
46.0,28.1,2023-12-31 18:41:46
46.0,28.1,2023-12-31 18:41:58
46.2,28.1,2023-12-31 18:42:10
46.2,28.1,2023-12-31 18:42:22
46.0,28.1,2023-12-31 18:42:34
46.1,28.1,2023-12-31 18:42:46
46.1,28.1,2023-12-31 18:42:58
46.2,28.1,2023-12-31 18:43:10
46.3,28.1,2023-12-31 18:43:22
46.1,28.1,2023-12-31 18:43:34
45.9,28.1,2023-12-31 18:43:46
45.9,28.1,2023-12-31 18:43:58
45.8,28.1,2023-12-31 18:44:10
45.9,28.1,2023-12-31 18:44:22
45.9,28.1,2023-12-31 18:44:34
45.8,28.1,2023-12-31 18:44:46
46.0,28.0,2023-12-31 18:44:58
45.9,28.1,2023-12-31 18:45:10
45.9,28.0,2023-12-31 18:45:23
46.0,28.0,2023-12-31 18:45:34
45.8,28.0,2023-12-31 18:45:47
45.8,28.0,2023-12-31 18:45:59
45.8,28.0,2023-12-31 18:46:11
45.8,28.0,2023-12-31 18:46:22
45.8,28.0,2023-12-31 18:46:35
45.8,28.0,2023-12-31 18:46:47
45.8,28.0,2023-12-31 18:46:59
45.9,27.9,2023-12-31 18:47:11
45.9,28.0,2023-12-31 18:47:23
45.8,28.0,2023-12-31 18:47:34
46.0,28.0,2023-12-31 18:47:47
46.1,28.0,2023-12-31 18:47:59
46.1,28.0,2023-12-31 18:48:10
46.1,28.0,2023-12-31 18:48:23
46.0,28.0,2023-12-31 18:48:35
46.2,28.0,2023-12-31 18:48:47
46.1,27.9,2023-12-31 18:48:59
46.1,28.0,2023-12-31 18:49:11
46.1,27.9,2023-12-31 18:49:23
46.0,28.0,2023-12-31 18:49:35
46.0,27.9,2023-12-31 18:49:47
46.0,27.9,2023-12-31 18:49:59
45.9,27.9,2023-12-31 18:50:11
45.9,28.0,2023-12-31 18:50:23
46.0,28.0,2023-12-31 18:50:35
46.0,27.9,2023-12-31 18:50:47
46.0,27.9,2023-12-31 18:50:59
46.1,27.9,2023-12-31 18:51:11
45.9,27.9,2023-12-31 18:51:23
46.0,27.9,2023-12-31 18:51:36
46.1,27.9,2023-12-31 18:51:47
45.9,27.9,2023-12-31 18:51:59
46.0,27.9,2023-12-31 18:52:11
46.1,27.9,2023-12-31 18:52:23
45.9,27.9,2023-12-31 18:52:35
46.0,27.9,2023-12-31 18:52:47
45.9,27.9,2023-12-31 18:53:00
46.0,27.9,2023-12-31 18:53:11
46.0,27.9,2023-12-31 18:53:23
46.0,27.9,2023-12-31 18:53:35
46.1,27.9,2023-12-31 18:53:47
46.1,27.9,2023-12-31 18:53:59
46.3,27.9,2023-12-31 18:54:12
46.2,27.8,2023-12-31 18:54:24
46.2,27.8,2023-12-31 18:54:36
46.1,27.8,2023-12-31 18:54:48
46.3,27.8,2023-12-31 18:55:00
46.0,27.8,2023-12-31 18:55:11
46.1,27.8,2023-12-31 18:55:24
46.0,27.8,2023-12-31 18:55:36
46.0,27.8,2023-12-31 18:55:48
45.9,27.8,2023-12-31 18:56:00
46.0,27.8,2023-12-31 18:56:12
46.1,27.8,2023-12-31 18:56:24
46.2,27.8,2023-12-31 18:56:36
46.3,27.8,2023-12-31 18:56:48
46.5,27.8,2023-12-31 18:57:00
46.2,27.7,2023-12-31 18:57:12
46.3,27.8,2023-12-31 18:57:24
46.2,27.7,2023-12-31 18:57:36
46.2,27.7,2023-12-31 18:57:48
46.1,27.7,2023-12-31 18:58:00
46.1,27.7,2023-12-31 18:58:12
46.3,27.7,2023-12-31 18:58:24
46.3,27.7,2023-12-31 18:58:36
46.4,27.7,2023-12-31 18:58:48
46.5,27.7,2023-12-31 18:59:00
46.2,27.7,2023-12-31 18:59:10
46.4,27.7,2023-12-31 18:59:22
46.4,27.7,2023-12-31 18:59:34
46.4,27.7,2023-12-31 18:59:47
46.5,27.7,2023-12-31 18:59:59
46.5,27.7,2023-12-31 19:00:10
46.4,27.7,2023-12-31 19:00:22
46.3,27.7,2023-12-31 19:00:34
46.5,27.7,2023-12-31 19:00:46
46.5,27.7,2023-12-31 19:00:59
46.4,27.7,2023-12-31 19:01:11
46.6,27.7,2023-12-31 19:01:23
46.6,27.7,2023-12-31 19:01:35
46.6,27.7,2023-12-31 19:01:47
46.6,27.7,2023-12-31 19:01:59
46.5,27.7,2023-12-31 19:02:11
46.6,27.7,2023-12-31 19:02:23
46.6,27.6,2023-12-31 19:02:35
46.5,27.7,2023-12-31 19:02:47
46.4,27.7,2023-12-31 19:02:59
46.5,27.7,2023-12-31 19:03:11
46.4,27.6,2023-12-31 19:03:23
46.5,27.6,2023-12-31 19:03:35
46.5,27.6,2023-12-31 19:03:47
46.7,27.6,2023-12-31 19:03:59
46.8,27.6,2023-12-31 19:04:11
46.9,27.6,2023-12-31 19:04:23
46.8,27.6,2023-12-31 19:04:36
46.7,27.6,2023-12-31 19:04:47
46.5,27.6,2023-12-31 19:04:59
46.5,27.5,2023-12-31 19:05:11
46.7,27.5,2023-12-31 19:05:23
46.7,27.5,2023-12-31 19:05:35
46.8,27.5,2023-12-31 19:05:47
46.8,27.5,2023-12-31 19:05:59
46.8,27.5,2023-12-31 19:06:12
46.7,27.5,2023-12-31 19:06:23
46.8,27.5,2023-12-31 19:06:36
46.8,27.5,2023-12-31 19:06:47
46.7,27.4,2023-12-31 19:06:59
46.7,27.5,2023-12-31 19:07:12
46.8,27.5,2023-12-31 19:07:24
46.7,27.4,2023-12-31 19:07:36
46.8,27.5,2023-12-31 19:07:48
46.7,27.4,2023-12-31 19:08:00
46.6,27.4,2023-12-31 19:08:11
46.6,27.4,2023-12-31 19:08:24
46.7,27.4,2023-12-31 19:08:36
46.6,27.4,2023-12-31 19:08:48
46.8,27.4,2023-12-31 19:09:00
46.7,27.4,2023-12-31 19:09:10
46.8,27.4,2023-12-31 19:09:20
46.6,27.4,2023-12-31 19:09:32
46.8,27.4,2023-12-31 19:09:44
46.8,27.4,2023-12-31 19:09:56
46.8,27.4,2023-12-31 19:10:08
46.8,27.4,2023-12-31 19:10:20
46.8,27.4,2023-12-31 19:10:32
46.8,27.5,2023-12-31 19:10:44
46.8,27.4,2023-12-31 19:10:56
46.7,27.5,2023-12-31 19:11:08
46.7,27.5,2023-12-31 19:11:20
46.7,27.4,2023-12-31 19:11:32
46.8,27.5,2023-12-31 19:11:44
46.8,27.5,2023-12-31 19:11:56
46.9,27.4,2023-12-31 19:12:08
46.8,27.4,2023-12-31 19:12:21
47.0,27.4,2023-12-31 19:12:33
46.9,27.4,2023-12-31 19:12:44
46.9,27.4,2023-12-31 19:12:57
46.9,27.4,2023-12-31 19:13:08
46.9,27.4,2023-12-31 19:13:21
46.9,27.4,2023-12-31 19:13:33
46.9,27.4,2023-12-31 19:13:45
46.9,27.4,2023-12-31 19:13:56
47.0,27.4,2023-12-31 19:14:08
47.1,27.4,2023-12-31 19:14:20
47.0,27.4,2023-12-31 19:14:32
47.0,27.4,2023-12-31 19:14:45
46.8,27.4,2023-12-31 19:14:57
46.8,27.4,2023-12-31 19:15:08
47.1,27.4,2023-12-31 19:15:21
47.0,27.4,2023-12-31 19:15:33
46.9,27.4,2023-12-31 19:15:45
46.8,27.4,2023-12-31 19:15:57
46.8,27.4,2023-12-31 19:16:09
46.7,27.4,2023-12-31 19:16:21
46.7,27.4,2023-12-31 19:16:33
47.0,27.3,2023-12-31 19:19:07
46.9,27.3,2023-12-31 19:19:19
47.0,27.3,2023-12-31 19:19:32
46.8,27.3,2023-12-31 19:19:43
47.0,27.3,2023-12-31 19:19:56
47.0,27.3,2023-12-31 19:20:08
47.1,27.3,2023-12-31 19:20:20
46.8,27.3,2023-12-31 19:20:32
46.9,27.3,2023-12-31 19:20:44
47.0,27.3,2023-12-31 19:20:56
47.0,27.3,2023-12-31 19:21:08
47.0,27.3,2023-12-31 19:21:19
47.1,27.2,2023-12-31 19:21:31
47.0,27.2,2023-12-31 19:21:43
46.8,27.3,2023-12-31 19:21:56
46.9,27.3,2023-12-31 19:22:08
46.9,27.3,2023-12-31 19:22:20
46.9,27.3,2023-12-31 19:22:32
47.0,27.3,2023-12-31 19:22:44
46.9,27.3,2023-12-31 19:22:56
46.9,27.3,2023-12-31 19:23:08
46.8,27.3,2023-12-31 19:23:20
47.0,27.3,2023-12-31 19:23:32
46.9,27.3,2023-12-31 19:23:44
46.9,27.3,2023-12-31 19:23:56
47.0,27.2,2023-12-31 19:24:08
46.9,27.3,2023-12-31 19:24:20
